ENSEMBL,SYMBOL,Binding_Sites,In_NDD_Databases,NDD_Categories
ENSG00000060982,BCAT1,1,FALSE,NA
ENSG00000062598,ELMO2,1,FALSE,NA
ENSG00000062650,WAPL,1,FALSE,NA
ENSG00000064703,DDX20,1,FALSE,NA
ENSG00000064989,CALCRL,1,FALSE,NA
ENSG00000065320,NTN1,1,FALSE,NA
ENSG00000065882,TBC1D1,1,FALSE,NA
ENSG00000066827,ZFAT,1,FALSE,NA
ENSG00000066926,FECH,1,FALSE,NA
ENSG00000067208,EVI5,1,FALSE,NA
ENSG00000067798,NAV3,1,FALSE,NA
ENSG00000067900,ROCK1,1,FALSE,NA
ENSG00000068878,PSME4,1,FALSE,NA
ENSG00000070031,SCT,1,FALSE,NA
ENSG00000070366,SMG6,1,FALSE,NA
ENSG00000070718,AP3M2,1,FALSE,NA
ENSG00000070915,SLC12A3,1,FALSE,NA
ENSG00000071189,SNX13,1,FALSE,NA
ENSG00000072135,PTPN18,1,FALSE,NA
ENSG00000072274,TFRC,1,FALSE,NA
ENSG00000072858,SIDT1,1,FALSE,NA
ENSG00000072952,IRAG1,1,FALSE,NA
ENSG00000073282,TP63,1,FALSE,NA
ENSG00000073417,PDE8A,1,FALSE,NA
ENSG00000073712,FERMT2,1,FALSE,NA
ENSG00000073737,DHRS9,1,FALSE,NA
ENSG00000074590,NUAK1,1,FALSE,NA
ENSG00000074706,IPCEF1,1,FALSE,NA
ENSG00000075643,MOCOS,1,FALSE,NA
ENSG00000075711,DLG1,1,FALSE,NA
ENSG00000076356,PLXNA2,1,FALSE,NA
ENSG00000076685,NT5C2,1,FALSE,NA
ENSG00000077157,PPP1R12B,1,FALSE,NA
ENSG00000077420,APBB1IP,1,FALSE,NA
ENSG00000078747,ITCH,1,FALSE,NA
ENSG00000079385,CEACAM1,1,FALSE,NA
ENSG00000079950,STX7,1,FALSE,NA
ENSG00000080298,RFX3,1,FALSE,NA
ENSG00000080503,SMARCA2,1,FALSE,NA
ENSG00000080546,SESN1,1,FALSE,NA
ENSG00000082014,SMARCD3,1,FALSE,NA
ENSG00000082269,FAM135A,1,FALSE,NA
ENSG00000082397,EPB41L3,1,FALSE,NA
ENSG00000083067,TRPM3,1,FALSE,NA
ENSG00000084070,SMAP2,1,FALSE,NA
ENSG00000085224,ATRX,1,FALSE,NA
ENSG00000085382,HACE1,1,FALSE,NA
ENSG00000085449,WDFY1,1,FALSE,NA
ENSG00000088179,PTPN4,1,FALSE,NA
ENSG00000089006,SNX5,1,FALSE,NA
ENSG00000089101,CFAP61,1,FALSE,NA
ENSG00000089916,GPATCH2L,1,FALSE,NA
ENSG00000090006,LTBP4,1,FALSE,NA
ENSG00000090104,RGS1,1,FALSE,NA
ENSG00000091138,SLC26A3,1,FALSE,NA
ENSG00000091409,ITGA6,1,FALSE,NA
ENSG00000091436,MAP3K20,1,FALSE,NA
ENSG00000091513,TF,1,FALSE,NA
ENSG00000092108,SCFD1,1,FALSE,NA
ENSG00000092607,TBX15,1,FALSE,NA
ENSG00000093144,ECHDC1,1,FALSE,NA
ENSG00000093167,LRRFIP2,1,FALSE,NA
ENSG00000095015,MAP3K1,1,FALSE,NA
ENSG00000095397,WHRN,1,FALSE,NA
ENSG00000095564,BTAF1,1,FALSE,NA
ENSG00000099139,PCSK5,1,FALSE,NA
ENSG00000099954,CECR2,1,FALSE,NA
ENSG00000100024,UPB1,1,FALSE,NA
ENSG00000100122,CRYBB1,1,FALSE,NA
ENSG00000100206,DMC1,1,FALSE,NA
ENSG00000100360,IFT27,1,FALSE,NA
ENSG00000100592,DAAM1,1,FALSE,NA
ENSG00000101220,ADISSP,1,FALSE,NA
ENSG00000101247,NDUFAF5,1,FALSE,NA
ENSG00000101307,SIRPB1,1,FALSE,NA
ENSG00000101310,SEC23B,1,FALSE,NA
ENSG00000101493,ZNF516,1,FALSE,NA
ENSG00000101638,ST8SIA5,1,FALSE,NA
ENSG00000101773,RBBP8,1,FALSE,NA
ENSG00000101846,STS,1,FALSE,NA
ENSG00000101935,AMMECR1,1,FALSE,NA
ENSG00000102468,HTR2A,1,FALSE,NA
ENSG00000102531,FNDC3A,1,FALSE,NA
ENSG00000102763,VWA8,1,FALSE,NA
ENSG00000102891,MT4,1,FALSE,NA
ENSG00000103018,CYB5B,1,FALSE,NA
ENSG00000103264,FBXO31,1,FALSE,NA
ENSG00000103489,XYLT1,1,FALSE,NA
ENSG00000104043,ATP8B4,1,FALSE,NA
ENSG00000104059,ENTREP2,1,FALSE,NA
ENSG00000104324,CPQ,1,FALSE,NA
ENSG00000104361,NIPAL2,1,FALSE,NA
ENSG00000104375,STK3,1,FALSE,NA
ENSG00000104381,GDAP1,1,FALSE,NA
ENSG00000104626,ERI1,1,FALSE,NA
ENSG00000104635,SLC39A14,1,FALSE,NA
ENSG00000104755,ADAM2,1,FALSE,NA
ENSG00000104969,SGTA,1,FALSE,NA
ENSG00000105088,OLFM2,1,FALSE,NA
ENSG00000105223,PLD3,1,FALSE,NA
ENSG00000105699,LSR,1,FALSE,NA
ENSG00000105877,DNAH11,1,FALSE,NA
ENSG00000106069,CHN2,1,FALSE,NA
ENSG00000106302,HYAL4,1,FALSE,NA
ENSG00000106392,C1GALT1,1,FALSE,NA
ENSG00000106608,URGCP,1,FALSE,NA
ENSG00000106615,RHEB,1,FALSE,NA
ENSG00000107021,TBC1D13,1,FALSE,NA
ENSG00000107282,APBA1,1,FALSE,NA
ENSG00000107295,SH3GL2,1,TRUE,Synaptopathy
ENSG00000107829,FBXW4,1,FALSE,NA
ENSG00000107862,GBF1,1,FALSE,NA
ENSG00000108018,SORCS1,1,FALSE,NA
ENSG00000108651,UTP6,1,FALSE,NA
ENSG00000109171,SLAIN2,1,FALSE,NA
ENSG00000109180,OCIAD1,1,FALSE,NA
ENSG00000109320,NFKB1,1,FALSE,NA
ENSG00000109458,GAB1,1,FALSE,NA
ENSG00000109906,ZBTB16,1,FALSE,NA
ENSG00000110324,IL10RA,1,FALSE,NA
ENSG00000110395,CBL,1,FALSE,NA
ENSG00000110435,PDHX,1,FALSE,NA
ENSG00000111110,PPM1H,1,FALSE,NA
ENSG00000111181,SLC6A12,1,FALSE,NA
ENSG00000111241,FGF6,1,FALSE,NA
ENSG00000111615,KRR1,1,FALSE,NA
ENSG00000111879,FAM184A,1,FALSE,NA
ENSG00000111961,SASH1,1,FALSE,NA
ENSG00000111962,UST,1,FALSE,NA
ENSG00000112182,BACH2,1,FALSE,NA
ENSG00000112249,ASCC3,1,FALSE,NA
ENSG00000112290,WASF1,1,FALSE,NA
ENSG00000112297,CRYBG1,1,FALSE,NA
ENSG00000112419,PHACTR2,1,FALSE,NA
ENSG00000112562,SMOC2,1,FALSE,NA
ENSG00000112584,FAM120B,1,FALSE,NA
ENSG00000112782,CLIC5,1,FALSE,NA
ENSG00000112992,NNT,1,FALSE,NA
ENSG00000113140,SPARC,1,FALSE,NA
ENSG00000113749,HRH2,1,FALSE,NA
ENSG00000114013,CD86,1,FALSE,NA
ENSG00000114349,GNAT1,1,FALSE,NA
ENSG00000114812,VIPR1,1,FALSE,NA
ENSG00000114904,NEK4,1,FALSE,NA
ENSG00000115085,ZAP70,1,FALSE,NA
ENSG00000115183,TANC1,1,FALSE,NA
ENSG00000115239,ASB3,1,FALSE,NA
ENSG00000115290,GRB14,1,FALSE,NA
ENSG00000115828,QPCT,1,FALSE,NA
ENSG00000115919,KYNU,1,FALSE,NA
ENSG00000115970,THADA,1,FALSE,NA
ENSG00000116221,MRPL37,1,FALSE,NA
ENSG00000116584,ARHGEF2,1,FALSE,NA
ENSG00000116678,LEPR,1,FALSE,NA
ENSG00000118307,DNAI7,1,FALSE,NA
ENSG00000118482,PHF3,1,FALSE,NA
ENSG00000118690,ARMC2,1,FALSE,NA
ENSG00000119231,SENP5,1,FALSE,NA
ENSG00000119326,CTNNAL1,1,FALSE,NA
ENSG00000119457,SLC46A2,1,FALSE,NA
ENSG00000119514,GALNT12,1,FALSE,NA
ENSG00000119714,GPR68,1,FALSE,NA
ENSG00000120242,IFNA8,1,FALSE,NA
ENSG00000120805,ARL1,1,FALSE,NA
ENSG00000120899,PTK2B,1,FALSE,NA
ENSG00000121578,B4GALT4,1,FALSE,NA
ENSG00000121904,CSMD2,1,FALSE,NA
ENSG00000122034,GTF3A,1,FALSE,NA
ENSG00000122042,UBL3,1,FALSE,NA
ENSG00000122224,LY9,1,FALSE,NA
ENSG00000122707,RECK,1,FALSE,NA
ENSG00000122728,TAF1L,1,FALSE,NA
ENSG00000122966,CIT,1,FALSE,NA
ENSG00000123066,MED13L,1,FALSE,NA
ENSG00000123091,RNF11,1,FALSE,NA
ENSG00000123146,ADGRE5,1,FALSE,NA
ENSG00000123268,ATF1,1,FALSE,NA
ENSG00000123411,IKZF4,1,FALSE,NA
ENSG00000123636,BAZ2B,1,FALSE,NA
ENSG00000123700,KCNJ2,1,FALSE,NA
ENSG00000124177,CHD6,1,FALSE,NA
ENSG00000124299,PEPD,1,FALSE,NA
ENSG00000124313,IQSEC2,1,FALSE,NA
ENSG00000124788,ATXN1,1,FALSE,NA
ENSG00000125492,BARHL1,1,FALSE,NA
ENSG00000125772,GPCPD1,1,FALSE,NA
ENSG00000125821,DTD1,1,FALSE,NA
ENSG00000127152,BCL11B,1,FALSE,NA
ENSG00000127472,PLA2G5,1,FALSE,NA
ENSG00000127527,EPS15L1,1,FALSE,NA
ENSG00000127804,METTL16,1,FALSE,NA
ENSG00000127914,AKAP9,1,FALSE,NA
ENSG00000127922,SEM1,1,FALSE,NA
ENSG00000127946,HIP1,1,FALSE,NA
ENSG00000127955,GNAI1,1,FALSE,NA
ENSG00000128045,RASL11B,1,FALSE,NA
ENSG00000128585,MKLN1,1,FALSE,NA
ENSG00000128923,MINDY2,1,FALSE,NA
ENSG00000129048,ACKR4,1,FALSE,NA
ENSG00000129116,PALLD,1,FALSE,NA
ENSG00000129128,SPCS3,1,FALSE,NA
ENSG00000129625,REEP5,1,FALSE,NA
ENSG00000129657,SEC14L1,1,FALSE,NA
ENSG00000130037,KCNA5,1,FALSE,NA
ENSG00000130653,PNPLA7,1,FALSE,NA
ENSG00000130940,CASZ1,1,FALSE,NA
ENSG00000130957,FBP2,1,FALSE,NA
ENSG00000130997,POLN,1,FALSE,NA
ENSG00000131059,BPIFA3,1,FALSE,NA
ENSG00000131171,SH3BGRL,1,FALSE,NA
ENSG00000131374,TBC1D5,1,FALSE,NA
ENSG00000131378,RFTN1,1,FALSE,NA
ENSG00000131379,C3orf20,1,FALSE,NA
ENSG00000131558,EXOC4,1,FALSE,NA
ENSG00000131931,THAP1,1,FALSE,NA
ENSG00000132003,ZSWIM4,1,FALSE,NA
ENSG00000132294,EFR3A,1,FALSE,NA
ENSG00000132465,JCHAIN,1,FALSE,NA
ENSG00000132640,BTBD3,1,FALSE,NA
ENSG00000132669,RIN2,1,FALSE,NA
ENSG00000132670,PTPRA,1,FALSE,NA
ENSG00000132773,TOE1,1,FALSE,NA
ENSG00000132932,ATP8A2,1,FALSE,NA
ENSG00000132938,MTUS2,1,FALSE,NA
ENSG00000133056,PIK3C2B,1,FALSE,NA
ENSG00000133111,RFXAP,1,FALSE,NA
ENSG00000133226,SRRM1,1,FALSE,NA
ENSG00000133313,CNDP2,1,FALSE,NA
ENSG00000133321,PLAAT4,1,FALSE,NA
ENSG00000133640,LRRIQ1,1,FALSE,NA
ENSG00000134028,ADAMDEC1,1,FALSE,NA
ENSG00000134240,HMGCS2,1,FALSE,NA
ENSG00000134490,TMEM241,1,FALSE,NA
ENSG00000134627,PIWIL4,1,FALSE,NA
ENSG00000134698,AGO4,1,FALSE,NA
ENSG00000134744,TUT4,1,FALSE,NA
ENSG00000134954,ETS1,1,FALSE,NA
ENSG00000134996,OSTF1,1,FALSE,NA
ENSG00000135048,CEMIP2,1,FALSE,NA
ENSG00000135069,PSAT1,1,FALSE,NA
ENSG00000135097,MSI1,1,FALSE,NA
ENSG00000135116,HRK,1,FALSE,NA
ENSG00000135426,TESPA1,1,FALSE,NA
ENSG00000135537,AFG1L,1,FALSE,NA
ENSG00000135541,AHI1,1,FALSE,NA
ENSG00000135631,RAB11FIP5,1,FALSE,NA
ENSG00000135655,USP15,1,FALSE,NA
ENSG00000135775,COG2,1,FALSE,NA
ENSG00000135801,TAF5L,1,FALSE,NA
ENSG00000135913,USP37,1,FALSE,NA
ENSG00000136026,CKAP4,1,FALSE,NA
ENSG00000136045,PWP1,1,FALSE,NA
ENSG00000136144,RCBTB1,1,FALSE,NA
ENSG00000136205,TNS3,1,FALSE,NA
ENSG00000136383,ALPK3,1,FALSE,NA
ENSG00000136560,TANK,1,FALSE,NA
ENSG00000136630,HLX,1,FALSE,NA
ENSG00000136631,VPS45,1,FALSE,NA
ENSG00000136682,ZNG1B,1,FALSE,NA
ENSG00000136717,BIN1,1,FALSE,NA
ENSG00000136732,GYPC,1,FALSE,NA
ENSG00000136770,DNAJC1,1,FALSE,NA
ENSG00000136828,RALGPS1,1,FALSE,NA
ENSG00000136928,GABBR2,1,FALSE,NA
ENSG00000136944,LMX1B,1,FALSE,NA
ENSG00000136950,ARPC5L,1,FALSE,NA
ENSG00000137161,CNPY3,1,FALSE,NA
ENSG00000137177,KIF13A,1,FALSE,NA
ENSG00000137478,FCHSD2,1,FALSE,NA
ENSG00000137601,NEK1,1,FALSE,NA
ENSG00000137727,ARHGAP20,1,FALSE,NA
ENSG00000137936,BCAR3,1,FALSE,NA
ENSG00000137968,SLC44A5,1,FALSE,NA
ENSG00000138050,THUMPD2,1,FALSE,NA
ENSG00000138095,LRPPRC,1,FALSE,NA
ENSG00000138316,ADAMTS14,1,FALSE,NA
ENSG00000138670,RASGEF1B,1,FALSE,NA
ENSG00000138777,PPA2,1,FALSE,NA
ENSG00000138795,LEF1,1,FALSE,NA
ENSG00000138821,SLC39A8,1,FALSE,NA
ENSG00000139154,AEBP2,1,FALSE,NA
ENSG00000139970,RTN1,1,FALSE,NA
ENSG00000139974,SLC38A6,1,FALSE,NA
ENSG00000140386,SCAPER,1,FALSE,NA
ENSG00000140443,IGF1R,1,FALSE,NA
ENSG00000141068,KSR1,1,FALSE,NA
ENSG00000141252,VPS53,1,FALSE,NA
ENSG00000141338,ABCA8,1,FALSE,NA
ENSG00000141376,BCAS3,1,FALSE,NA
ENSG00000141404,GNAL,1,FALSE,NA
ENSG00000141646,SMAD4,1,FALSE,NA
ENSG00000141968,VAV1,1,FALSE,NA
ENSG00000142197,DOP1B,1,FALSE,NA
ENSG00000143149,ALDH9A1,1,FALSE,NA
ENSG00000143344,RGL1,1,FALSE,NA
ENSG00000143514,TP53BP2,1,FALSE,NA
ENSG00000143603,KCNN3,1,FALSE,NA
ENSG00000143801,PSEN2,1,FALSE,NA
ENSG00000143847,PPFIA4,1,FALSE,NA
ENSG00000143970,ASXL2,1,FALSE,NA
ENSG00000144115,THNSL2,1,FALSE,NA
ENSG00000144218,AFF3,1,FALSE,NA
ENSG00000144283,PKP4,1,FALSE,NA
ENSG00000144290,SLC4A10,1,FALSE,NA
ENSG00000144331,ZNF385B,1,FALSE,NA
ENSG00000144451,SPAG16,1,FALSE,NA
ENSG00000144741,SLC25A26,1,FALSE,NA
ENSG00000144840,RABL3,1,FALSE,NA
ENSG00000144962,SPATA16,1,FALSE,NA
ENSG00000145348,TBCK,1,FALSE,NA
ENSG00000145349,CAMK2D,1,FALSE,NA
ENSG00000145626,UGT3A1,1,FALSE,NA
ENSG00000145734,BDP1,1,FALSE,NA
ENSG00000145819,ARHGAP26,1,FALSE,NA
ENSG00000145850,TIMD4,1,FALSE,NA
ENSG00000146243,IRAK1BP1,1,FALSE,NA
ENSG00000146426,TIAM2,1,FALSE,NA
ENSG00000146666,LINC00525,1,FALSE,NA
ENSG00000147164,SNX12,1,FALSE,NA
ENSG00000147246,HTR2C,1,FALSE,NA
ENSG00000147421,HMBOX1,1,FALSE,NA
ENSG00000147650,LRP12,1,FALSE,NA
ENSG00000148123,PLPPR1,1,FALSE,NA
ENSG00000148204,CRB2,1,FALSE,NA
ENSG00000148498,PARD3,1,FALSE,NA
ENSG00000148690,FRA10AC1,1,FALSE,NA
ENSG00000149177,PTPRJ,1,FALSE,NA
ENSG00000149187,CELF1,1,FALSE,NA
ENSG00000149633,KIAA1755,1,FALSE,NA
ENSG00000149781,FERMT3,1,FALSE,NA
ENSG00000150275,PCDH15,1,FALSE,NA
ENSG00000150477,KIAA1328,1,FALSE,NA
ENSG00000150556,LYPD6B,1,FALSE,NA
ENSG00000150672,DLG2,1,FALSE,NA
ENSG00000150867,PIP4K2A,1,FALSE,NA
ENSG00000150991,UBC,1,FALSE,NA
ENSG00000151229,SLC2A13,1,FALSE,NA
ENSG00000151490,PTPRO,1,FALSE,NA
ENSG00000151617,EDNRA,1,FALSE,NA
ENSG00000151640,DPYSL4,1,FALSE,NA
ENSG00000151692,RNF144A,1,FALSE,NA
ENSG00000151748,SAV1,1,FALSE,NA
ENSG00000151779,NBAS,1,FALSE,NA
ENSG00000151789,ZNF385D,1,FALSE,NA
ENSG00000151812,SLC35F4,1,FALSE,NA
ENSG00000151883,PARP8,1,FALSE,NA
ENSG00000151962,RBM46,1,FALSE,NA
ENSG00000151967,SCHIP1,1,FALSE,NA
ENSG00000152104,PTPN14,1,FALSE,NA
ENSG00000152127,MGAT5,1,FALSE,NA
ENSG00000152208,GRID2,1,FALSE,NA
ENSG00000152214,RIT2,1,FALSE,NA
ENSG00000152219,ARL14EP,1,FALSE,NA
ENSG00000152348,ATG10,1,FALSE,NA
ENSG00000152520,PAN3,1,FALSE,NA
ENSG00000152595,MEPE,1,FALSE,NA
ENSG00000152689,RASGRP3,1,FALSE,NA
ENSG00000153015,CWC27,1,FALSE,NA
ENSG00000153207,AHCTF1,1,FALSE,NA
ENSG00000153237,CCDC148,1,FALSE,NA
ENSG00000153250,RBMS1,1,FALSE,NA
ENSG00000153446,C16orf89,1,FALSE,NA
ENSG00000153495,TEX29,1,FALSE,NA
ENSG00000153786,ZDHHC7,1,FALSE,NA
ENSG00000153944,MSI2,1,FALSE,NA
ENSG00000153993,SEMA3D,1,FALSE,NA
ENSG00000154188,ANGPT1,1,FALSE,NA
ENSG00000154240,CEP112,1,FALSE,NA
ENSG00000154263,ABCA10,1,FALSE,NA
ENSG00000154309,DISP1,1,FALSE,NA
ENSG00000154310,TNIK,1,FALSE,NA
ENSG00000154415,PPP1R3A,1,FALSE,NA
ENSG00000154783,FGD5,1,FALSE,NA
ENSG00000154822,PLCL2,1,FALSE,NA
ENSG00000155011,DKK2,1,FALSE,NA
ENSG00000155158,TTC39B,1,FALSE,NA
ENSG00000155252,PI4K2A,1,FALSE,NA
ENSG00000155324,GRAMD2B,1,FALSE,NA
ENSG00000155393,HEATR3,1,FALSE,NA
ENSG00000155629,PIK3AP1,1,FALSE,NA
ENSG00000155719,OTOA,1,FALSE,NA
ENSG00000155833,CYLC2,1,FALSE,NA
ENSG00000155886,SLC24A2,1,FALSE,NA
ENSG00000155903,RASA2,1,FALSE,NA
ENSG00000156273,GRIK1-AS2,1,FALSE,NA
ENSG00000156345,CDK20,1,FALSE,NA
ENSG00000156642,NPTN,1,FALSE,NA
ENSG00000156650,KAT6B,1,FALSE,NA
