"Gene","Degree","Betweenness","Eigen_Centrality","Community","Functional_Category","NDD_Association","Hub_Status"
"SCFD1",26,3213.80092859178,0.0308672535367738,9,"Other Functions","No","Hub"
"RBBP8",26,1237.3273878006,0.173777044686507,2,"Other Functions","No","Hub"
"CAPZB",26,4368.16705863183,0.102341113839088,11,"Other Functions","No","Hub"
"ERCC1",24,2534.30981722052,0.14879549170652,2,"Other Functions","No","Non-Hub"
"KCNA5",24,849.373201810419,0.0925302096920079,7,"Other Functions","No","Non-Hub"
"PTCH1",24,1893.10574630145,0.326382512644009,5,"Other Functions","No","Non-Hub"
"PLA2G4A",24,4970.29612256418,0.116276939319697,19,"Other Functions","No","Non-Hub"
"SEC63",24,3312.95013382614,0.0117540656662763,9,"Other Functions","No","Non-Hub"
"CXCR3",24,2104.32989061612,0.192874156402741,8,"Other Functions","No","Non-Hub"
"PIP4K2A",24,2046.65699124069,0.0641039127214823,11,"Other Functions","No","Non-Hub"
"TLR7",24,1133.01415436825,0.166758765405724,8,"Other Functions","No","Non-Hub"
"ITSN1",24,2169.52878108316,0.124825539947433,11,"Other Functions","No","Non-Hub"
"CARD11",24,1043.43884041747,0.239200354289621,8,"Other Functions","No","Non-Hub"
"DPP10",24,2334.09177148717,0.0495680151593867,7,"Other Functions","No","Non-Hub"
"ETS1",24,4490.98358134898,0.353520642261535,5,"Other Functions","No","Non-Hub"
"NLGN1",24,1335.03461645723,0.138891460536719,7,"Synaptic Organization","Yes","Non-Hub"
"MYO5A",24,2199.01591905983,0.0830285915660342,9,"Other Functions","No","Non-Hub"
"KCNJ2",22,1207.53632466824,0.0531749487854993,7,"Other Functions","No","Non-Hub"
"KRR1",22,1148.15787812976,0.0132662183902899,6,"Other Functions","No","Non-Hub"
"ARHGAP26",22,1423.85254938698,0.0618081107478542,7,"Other Functions","No","Non-Hub"
"UTP6",22,1691.28568708948,0.0103836320390972,6,"Other Functions","No","Non-Hub"
"OLIG2",22,2010.77714251809,0.209817788891339,5,"Other Functions","No","Non-Hub"
"UBE2E1",22,806.753826778408,0.213898609227796,5,"Other Functions","No","Non-Hub"
"SPRY2",22,1821.04496291044,0.206957813730057,11,"Other Functions","No","Non-Hub"
"APBB1IP",22,736.449704445113,0.137402892886676,11,"Other Functions","No","Non-Hub"
"PARD3",22,1829.7954032994,0.198589119629,5,"Other Functions","No","Non-Hub"
"VPS45",22,1823.61822339375,0.0370211476064801,9,"Other Functions","No","Non-Hub"
"PSME4",22,2521.47354649324,0.139617062012008,5,"Other Functions","No","Non-Hub"
"PLD3",22,1792.92342211135,0.0864479250742086,11,"Other Functions","No","Non-Hub"
"ITGA6",22,1854.35206929828,0.243049459969244,5,"Other Functions","No","Non-Hub"
"ANGPT1",22,1331.87621861677,0.27253044580026,8,"Other Functions","No","Non-Hub"
"SMARCD3",20,877.862578650837,0.131335892934163,5,"Other Functions","No","Non-Hub"
"SPARC",20,5508.82380853349,0.0929078497016251,17,"Other Functions","No","Non-Hub"
"ANK1",20,1227.27362272991,0.0946007167043323,9,"Other Functions","No","Non-Hub"
"USP15",20,646.534017575397,0.221630728568085,5,"Other Functions","No","Non-Hub"
"SEMA3D",20,775.075725427259,0.0711923383822716,3,"Other Functions","No","Non-Hub"
"NT5C2",20,3664.68291780237,0.0656415792432343,7,"Other Functions","No","Non-Hub"
"COG5",20,1096.70031386356,0.0272227471347306,9,"Other Functions","No","Non-Hub"
