"Gene","Degree","Betweenness","Eigen_Centrality","Community","Functional_Category","NDD_Association","Hub_Status"
"EFNA5",10,252.981843620376,0.0658867575908014,3,"Other Functions","No","Non-Hub"
"COPS8",10,1474.3468878674,0.0848192800564034,5,"Other Functions","No","Non-Hub"
"SLC12A3",10,1043.24404758785,0.0107746087612211,19,"Other Functions","No","Non-Hub"
"PTPRJ",10,256.662628225962,0.0340344260015015,10,"Other Functions","No","Non-Hub"
"KCNIP1",10,65.6937096790582,0.0143864055377508,7,"Other Functions","No","Non-Hub"
"C1GALT1",10,629.838463229279,0.00191677042955882,12,"Other Functions","No","Non-Hub"
"CHRNA7",10,326.340990454943,0.0221099385814361,7,"Other Functions","No","Non-Hub"
"POLN",10,559.267872790837,0.0719759314097271,2,"Other Functions","No","Non-Hub"
"TSHR",10,1875.69728891625,0.0571513672655296,10,"Other Functions","No","Non-Hub"
"ZDHHC17",10,452.688601275992,0.0437459013757474,8,"Other Functions","No","Non-Hub"
"GYPA",10,234.135386241265,0.0804632974205765,8,"Other Functions","No","Non-Hub"
"KBTBD8",10,1869.57136900908,0.0392150159330697,12,"Other Functions","No","Non-Hub"
"MRPL37",10,1322.49435733477,0.0101674654594344,1,"Other Functions","No","Non-Hub"
"HMGCS2",10,491.052955455415,0.06616611381213,15,"Other Functions","No","Non-Hub"
"OPALIN",10,346.662809522187,0.0252969949136026,7,"Other Functions","No","Non-Hub"
"CHD6",10,1034.82726130888,0.0801454339965171,2,"Other Functions","No","Non-Hub"
"GTF3A",10,1376.77167630804,0.0824709901326141,19,"Other Functions","No","Non-Hub"
"CAND1.11",10,187.265312713586,0.0102036224838543,7,"Other Functions","No","Non-Hub"
"SLC4A8",10,921.360354489262,0.00901499348831647,19,"Other Functions","No","Non-Hub"
"KCNAB1",10,136.650124619682,0.0222643787704842,7,"Other Functions","No","Non-Hub"
"ATP2C1",10,612.135390695835,0.0877438574211888,7,"Other Functions","No","Non-Hub"
"DENND2B",10,1080.82050396307,0.0170426386302561,15,"Other Functions","No","Non-Hub"
"FAM120B",10,1722.24994305778,0.0869413848962057,2,"Other Functions","No","Non-Hub"
"BCAT1",10,651.908581660771,0.00678702419935087,15,"Other Functions","No","Non-Hub"
"RAB31",10,154.721078428287,0.00999078506097033,9,"Other Functions","No","Non-Hub"
"DNAH11",10,702.356244819301,0.00150112536934709,1,"Other Functions","No","Non-Hub"
"CDYL2",10,1261.19443371729,0.0382681713150572,6,"Other Functions","No","Non-Hub"
"VPS13D",10,1385.86278049383,0.0170437166780734,11,"Other Functions","No","Non-Hub"
"RYK",10,184.98892528374,0.0871412886852484,5,"Other Functions","No","Non-Hub"
"LSR",10,641.411414996705,0.0341834576278612,11,"Other Functions","No","Non-Hub"
"KCNN3",10,176.067389585205,0.0334648460255152,7,"Other Functions","No","Non-Hub"
"HYAL4",8,759.103948559782,0.0360941448184602,6,"Other Functions","No","Non-Hub"
"SCT",8,100.833012761723,0.0103932205524253,7,"Other Functions","No","Non-Hub"
"RAB11FIP5",8,151.078604575003,0.0107045222251764,9,"Other Functions","No","Non-Hub"
"GPATCH2L",8,17.8825985609991,0.00589465947519627,6,"Other Functions","No","Non-Hub"
"ATF1",8,33.2341619849069,0.0772731408358625,5,"Other Functions","No","Non-Hub"
"PTPN18",8,26.7988891635971,0.0779787344616396,10,"Other Functions","No","Non-Hub"
"SMG6",8,1124.46985469953,0.00849253322637314,13,"Other Functions","No","Non-Hub"
"RALGPS1",8,903.104175336609,0.0125364907338859,2,"Other Functions","No","Non-Hub"
"LY9",8,10.234674200259,0.0609543041375933,8,"Other Functions","No","Non-Hub"
"OLFM2",8,139.358354906624,0.0569494214401629,7,"Other Functions","No","Non-Hub"
"RASA2",8,174.026932609694,0.0228316623708761,6,"Other Functions","No","Non-Hub"
"DGKG",8,265.735501417414,0.016046598973459,11,"Other Functions","No","Non-Hub"
"DKK2",8,66.6905237892675,0.0507513917195013,5,"Other Functions","No","Non-Hub"
"MARK4",8,276.396284314737,0.0196845852724413,7,"Other Functions","No","Non-Hub"
"ASAP2",8,4.69427191166322,0.0699964974653227,11,"Other Functions","No","Non-Hub"
"TNS3",8,771.345523082575,0.0137711657278374,18,"Other Functions","No","Non-Hub"
"SLC2A13",8,475.749347374804,0.0134700336933975,1,"Other Functions","No","Non-Hub"
"CARTPT",8,767.655788106548,0.0191553492213211,7,"Other Functions","No","Non-Hub"
"XCR1",8,98.6890235591393,0.0543111274954612,8,"Other Functions","No","Non-Hub"
"ACAD11",8,550.411049073264,0.00629039284075758,3,"Other Functions","No","Non-Hub"
"UNC13C",8,473.012456807008,0.0157563974601427,9,"Other Functions","No","Non-Hub"
"ARID5B",8,362.711011542367,0.055161894832834,18,"Other Functions","No","Non-Hub"
"SLC7A8",8,917.176371360904,0.000974684572306193,19,"Other Functions","No","Non-Hub"
"DMC1",8,0,0.0454219720633406,2,"Other Functions","No","Non-Hub"
"SLC39A14",8,97.1076998462388,0.0308122218756699,8,"Other Functions","No","Non-Hub"
"TTC7B",8,1658.75471303645,0.00656568165015973,7,"Other Functions","No","Non-Hub"
"SLC24A2",8,199.814805277496,0.0289083708134698,7,"Other Functions","No","Non-Hub"
"RNF144A",8,1073.71784130316,0.0421866814978214,1,"Other Functions","No","Non-Hub"
"RFTN1",8,849.100254348748,0.0025421117320141,3,"Other Functions","No","Non-Hub"
"CDK20",8,1425.67677492429,0.0699474707126088,1,"Other Functions","No","Non-Hub"
"ONECUT1",8,805.280882245596,0.0636777978777719,12,"Other Functions","No","Non-Hub"
"WHRN",8,186.874491940852,0.00774596426825962,10,"Other Functions","No","Non-Hub"
"SLC26A3",8,335.691798338807,0.0031935715468352,19,"Other Functions","No","Non-Hub"
"SLC46A2",8,1119.06496187602,0.00595004073163009,19,"Other Functions","No","Non-Hub"
"STXBP4",8,151.226823457976,0.0210567662234524,9,"Other Functions","No","Non-Hub"
"DTD1",8,860.003767819351,0.010935465859559,9,"Other Functions","No","Non-Hub"
"SASH1",8,1352.23591653514,0.0289670552558313,3,"Other Functions","No","Non-Hub"
"NRG2",8,259.456865679223,0.083194270508531,19,"Other Functions","No","Non-Hub"
"CYB5B",8,1787.74396946794,0.00488615798951401,12,"Other Functions","No","Non-Hub"
"PCDH15",8,360.767697617613,0.0111085358085259,10,"Other Functions","No","Non-Hub"
"FECH",8,807.233917393963,0.066403192981391,8,"Other Functions","No","Non-Hub"
"TAS2R1",8,126.349806448838,0.0213169015420435,7,"Other Functions","No","Non-Hub"
"BNC2",8,939.397141219525,0.0233447102272246,11,"Other Functions","No","Non-Hub"
"LMX1B",8,379.853552232607,0.0138621396402004,10,"Other Functions","No","Non-Hub"
"PIK3AP1",8,32.7890027819983,0.0429978318034648,11,"Other Functions","No","Non-Hub"
"TANK",8,108.455148538529,0.0818236828556065,8,"Other Functions","No","Non-Hub"
"SFMBT2",8,347.023046841867,0.00521987595724974,15,"Other Functions","No","Non-Hub"
"ASB3",8,805.794010777352,0.0465914629209523,3,"Other Functions","No","Non-Hub"
"FEZ2",8,287.680799508022,0.015428481721381,7,"Other Functions","No","Non-Hub"
"GALNT12",8,999.64313652094,0.000820433054783376,12,"Other Functions","No","Non-Hub"
"ATP8A2",8,416.050267294109,0.0108571292707756,9,"Other Functions","No","Non-Hub"
"GHITM",8,1511.76958188036,0.00075379912894706,10,"Other Functions","No","Non-Hub"
"AHCTF1",8,59.4400310328561,0.023406917368617,6,"Other Functions","No","Non-Hub"
"VARS1",8,304.040738638175,0.00248248056921318,15,"Other Functions","No","Non-Hub"
"RASGRP3",8,797.993070149551,0.0279752695336258,7,"Other Functions","No","Non-Hub"
"SLITRK6",8,763.928231810218,0.0206934428937258,15,"Other Functions","No","Non-Hub"
"SLC6A12",8,1220.16299462417,0.00695697078312935,12,"Other Functions","No","Non-Hub"
"FCHSD2",8,398.05166412191,0.0223377468360536,2,"Other Functions","No","Non-Hub"
"EXT1",8,925.134986743213,0.025631402018595,10,"Other Functions","No","Non-Hub"
"UTRN",8,302.981854156061,0.0556008997326525,18,"Other Functions","No","Non-Hub"
"PALLD",8,262.786994853017,0.0147284601413874,9,"Other Functions","No","Non-Hub"
"TBC1D5",8,181.433557596402,0.013675142663492,9,"Other Functions","No","Non-Hub"
"SMAP2",8,269.847821495357,0.00820076309307816,9,"Other Functions","No","Non-Hub"
"REEP5",8,206.950890297029,0.00297291422752371,9,"Other Functions","No","Non-Hub"
"LCORL",8,1286.52430391898,0.0207039242284232,14,"Other Functions","No","Non-Hub"
"OTOA",8,388.524829917502,0.0081309471249114,10,"Other Functions","No","Non-Hub"
"PNPLA7",8,881.245590591774,0.00876380940091985,19,"Other Functions","No","Non-Hub"
"LYPD6B",8,198.473007046677,0.0187148589800823,5,"Other Functions","No","Non-Hub"
"ADGRA2",8,1332.79352805264,0.0174260264519892,17,"Other Functions","No","Non-Hub"
"STK3",8,156.442099295104,0.0749939991191957,10,"Other Functions","No","Non-Hub"
"CFAP54",8,886.57080520512,0.00101768229121644,1,"Other Functions","No","Non-Hub"
"SPIC",8,1072.41080600428,0.00420555032918497,19,"Other Functions","No","Non-Hub"
"TEX13A",8,0,0.0067026218906538,6,"Other Functions","No","Non-Hub"
"TUBGCP5",8,112.088251479215,0.0111828911896265,7,"Other Functions","No","Non-Hub"
"CPQ",6,110.962466880695,0.0170161994189116,8,"Other Functions","No","Non-Hub"
"RALGAPA2",6,105.224526840342,0.00113589521529211,1,"Other Functions","No","Non-Hub"
"ALPK3",6,179.979510194258,0.0127258126924605,18,"Other Functions","No","Non-Hub"
"PARP12",6,118.100616901273,0.00956996611063918,14,"Other Functions","No","Non-Hub"
"MSI1",6,2816,0.00078805569975209,17,"Other Functions","No","Non-Hub"
"RASL11B",6,706,0.00237764212225121,1,"Other Functions","No","Non-Hub"
"EFR3A",6,620.766689724307,0.000629231096872404,7,"Other Functions","No","Non-Hub"
"TUT4",6,0,0.0118273236308852,6,"Other Functions","No","Non-Hub"
"SIDT1",6,175.517883511666,0.00740201753638433,6,"Other Functions","No","Non-Hub"
"CDV3",6,1133.68915510077,0.0302629457226981,1,"Other Functions","No","Non-Hub"
"PCOLCE2",6,251.451824168613,0.00174604916486344,10,"Other Functions","No","Non-Hub"
"SLAIN2",6,279.397513060811,0.013992104111655,8,"Other Functions","No","Non-Hub"
"GCLC",6,776.40906636685,0.0599314692211829,15,"Other Functions","No","Non-Hub"
"SORCS1",6,137.027136220321,0.0202772693678202,11,"Other Functions","No","Non-Hub"
"ULK4",6,52.7787526656641,0.00765675627272499,7,"Other Functions","No","Non-Hub"
"TIMD4",6,897.174871985847,0.0223654974883998,1,"Other Functions","No","Non-Hub"
"KIAA1328",6,820.445461565255,0.000156295400297996,10,"Other Functions","No","Non-Hub"
"PPP1R3A",6,122.113676424378,0.0126711160613418,11,"Other Functions","No","Non-Hub"
"THAP1",6,132.37131711238,0.0201499041184564,2,"Other Functions","No","Non-Hub"
"CABCOCO1",6,34.7577036497567,0.0103428714385402,7,"Other Functions","No","Non-Hub"
"RNF11",6,1.91833520217388,0.0877313652821436,5,"Other Functions","No","Non-Hub"
"ANKRD11",6,21.3777893874894,0.0465751672967067,2,"Other Functions","No","Non-Hub"
"MRPS23",6,739.274194634723,0.0021487507668548,1,"Other Functions","No","Non-Hub"
"PIGR",6,338.453546828764,0.0216791050784618,9,"Other Functions","No","Non-Hub"
"WAPL",6,13.4189153258141,0.0255717121732605,6,"Other Functions","No","Non-Hub"
"GPR37",6,161.112157137513,0.0406284106739948,12,"Other Functions","No","Non-Hub"
"SAV1",6,75.0578011059222,0.0696679094418647,10,"Other Functions","No","Non-Hub"
"SUGCT",6,849.683982300665,0.00552964621025931,10,"Other Functions","No","Non-Hub"
"VIPR1",6,200.113693817901,0.00906416039882697,7,"Other Functions","No","Non-Hub"
"HTRA1",6,15.2382946710009,0.047156784884211,5,"Other Functions","No","Non-Hub"
"RABL3",6,995.859608887654,0.0106138017152825,13,"Other Functions","No","Non-Hub"
"NBAS",6,407.07447036972,0.00332287498677954,13,"Other Functions","No","Non-Hub"
"EVI5",6,789.599155877331,0.00115993299583071,13,"Other Functions","No","Non-Hub"
"ASCC3",6,129.825051769218,0.00578835851182543,2,"Other Functions","No","Non-Hub"
"NHEJ1",6,84.5378735879111,0.0399411693951578,2,"Other Functions","No","Non-Hub"
"NAALADL1",6,88.7664178429894,0.0160037137587075,8,"Other Functions","No","Non-Hub"
"NPAS2",6,706,0.0600377965962181,5,"Other Functions","No","Non-Hub"
"ADGRE5",6,120.401134061316,0.0177722481747381,7,"Other Functions","No","Non-Hub"
"HSPB7",6,670.489356916579,0.0107530889235234,15,"Other Functions","No","Non-Hub"
"SLC22A15",6,223.284200317967,0.000949582425817073,19,"Other Functions","No","Non-Hub"
"SCIN",6,72.7200713293099,0.016413978221939,11,"Other Functions","No","Non-Hub"
"RASEF",6,195.310098846426,0.00699215345406505,9,"Other Functions","No","Non-Hub"
"SPAG16",6,154.252469739955,0.000549997437502931,1,"Other Functions","No","Non-Hub"
"PARP8",6,117.846800149568,0.00315345518414098,14,"Other Functions","No","Non-Hub"
"CKAP4",6,148.882367135487,0.00345684714024375,9,"Other Functions","No","Non-Hub"
"CLEC9A",6,0,0.0352456192976225,8,"Other Functions","No","Non-Hub"
"PPA2",6,132.250962661626,0.00334693289877898,9,"Other Functions","No","Non-Hub"
"FBXW4",6,120.351464630242,0.0396587640013443,5,"Other Functions","No","Non-Hub"
"XKR4",6,742.062207028951,0.00277677920980609,14,"Other Functions","No","Non-Hub"
"AFG1L",6,706,0.000778809161544095,9,"Other Functions","No","Non-Hub"
"RFX3",6,309.688187507098,0.000340080293557376,9,"Other Functions","No","Non-Hub"
"KCTD6",6,225.068459829064,0.0358205441298965,9,"Other Functions","No","Non-Hub"
"PLA2G5",6,80.2077425296399,0.0139080823953238,19,"Other Functions","No","Non-Hub"
"DOP1B",6,49.5019079386025,0.0207016476655692,7,"Other Functions","No","Non-Hub"
"MFSD2A",6,731.298745421245,0.00192260935993197,17,"Other Functions","No","Non-Hub"
"OLIG3",6,136.088904490411,0.00240874099316564,12,"Other Functions","No","Non-Hub"
"CDS1",6,14.5061131534967,0.0104968735873207,11,"Other Functions","No","Non-Hub"
"ZNF385B",6,335.111236467818,0.0147109634450672,5,"Other Functions","No","Non-Hub"
"MGAT5",6,1666.28328207082,0.0234850149252257,12,"Other Functions","No","Non-Hub"
"SLC26A9",6,247.990735602401,0.00588882699958468,19,"Other Functions","No","Non-Hub"
"QSOX2",6,200.40774524828,0.00819113608027917,2,"Other Functions","No","Non-Hub"
"OCIAD1",6,2331.96466864204,0.0728143396552832,12,"Other Functions","No","Non-Hub"
"CPLANE1",6,0,0.00155452552827889,13,"Other Functions","No","Non-Hub"
"IFT27",6,1472.00420400554,0.00143137081286367,13,"Other Functions","No","Non-Hub"
"TTC39C",6,1452.19628623815,0.00230652576022756,10,"Other Functions","No","Non-Hub"
"RECK",6,788.570502316244,0.00728737807789891,17,"Other Functions","No","Non-Hub"
"ELFN2",6,745.438603520175,0.00778808987459088,7,"Other Functions","No","Non-Hub"
"SLC28A3",6,492.991235102812,0.00444983431690356,19,"Other Functions","No","Non-Hub"
"IGF2BP3",6,719.956213556128,0.00787604201352104,11,"Other Functions","No","Non-Hub"
"SMOC2",6,3518.39153346653,0.011879209756472,17,"Other Functions","No","Non-Hub"
"PEAK1",6,1088.84516694204,0.00503148074499963,10,"Other Functions","No","Non-Hub"
"CFAP100",6,213.77731173844,0.00054363872945873,1,"Other Functions","No","Non-Hub"
"ROR1",6,63.1529223584947,0.0748309820669572,5,"Other Functions","No","Non-Hub"
"NMNAT3",6,422.544127759952,0.00585824661202218,3,"Other Functions","No","Non-Hub"
"CCR9",6,715.289867039145,0.0412049591337296,8,"Other Functions","No","Non-Hub"
"FBXO42",6,347.561957073122,0.0603747740090664,5,"Other Functions","No","Non-Hub"
"DNAJC1",6,285.085323058402,0.00118265400654303,1,"Other Functions","No","Non-Hub"
"FRMPD4",6,80.8128623260959,0.0142212859860302,11,"Other Functions","No","Non-Hub"
"VCX",6,139.711774775732,0.00549178679028832,12,"Other Functions","No","Non-Hub"
"SLC39A8",6,706,0.0227911444127271,8,"Other Functions","No","Non-Hub"
"ZFPM2",6,714.783126154659,0.0274977023220973,5,"Other Functions","No","Non-Hub"
"TF",6,20.7301555989226,0.0273345065367764,9,"Other Functions","No","Non-Hub"
"CALCRL",6,102.890264549017,0.0073146772674066,7,"Other Functions","No","Non-Hub"
"TBXAS1",6,41.7806704808278,0.0234729861981467,19,"Other Functions","No","Non-Hub"
"SESN1",6,39.8104057882541,0.0211680897625919,3,"Other Functions","No","Non-Hub"
"NFIC",6,0,0.113576349006423,5,"Other Functions","No","Non-Hub"
"VKORC1L1",6,183.544959946614,0.0045975043476126,11,"Other Functions","No","Non-Hub"
"CC2D2A",6,0,0.0015545255282789,13,"Other Functions","No","Non-Hub"
"SCHIP1",6,1510.95155472621,0.00582332968517223,10,"Other Functions","No","Non-Hub"
"GMNC",6,383.227843236543,0.000893194760175449,9,"Other Functions","No","Non-Hub"
"MEPE",6,826.140868573357,0.00903573969393113,17,"Other Functions","No","Non-Hub"
"PPM1L",6,115.610574033443,0.0181215896144116,15,"Other Functions","No","Non-Hub"
"B4GALT4",6,266.099499396896,0.000456618624464605,12,"Other Functions","No","Non-Hub"
"CYLC2",6,149.619192227744,0.000358947217272644,1,"Other Functions","No","Non-Hub"
"CLVS1",6,234.148718099175,0.00469565773426035,2,"Other Functions","No","Non-Hub"
"GFRA2",6,867.620553660142,0.021337645478224,14,"Other Functions","No","Non-Hub"
"ST3GAL1",6,501.654621066158,0.00167973109701086,12,"Other Functions","No","Non-Hub"
"GPR68",6,107.881468839533,0.0150360528549198,12,"Other Functions","No","Non-Hub"
"SVOP",6,969.916432930771,0.0116830633664545,17,"Other Functions","No","Non-Hub"
"SNX12",6,78.1569577298712,0.00643363342797089,9,"Other Functions","No","Non-Hub"
"SGTA",4,706,0.0470265157484583,5,"Other Functions","No","Non-Hub"
"GDAP1",4,182.134566812361,0.0050504843666448,3,"Other Functions","No","Non-Hub"
"PDHX",4,139.288949868459,0.000703337655492824,12,"Other Functions","No","Non-Hub"
"TBX15",4,25.2938205213496,0.00772966158038096,11,"Other Functions","No","Non-Hub"
"RFXAP",4,0,0.0526001543000131,11,"Other Functions","No","Non-Hub"
"BACH2",4,1857.04494176178,0.0340239340714785,10,"Other Functions","No","Non-Hub"
"PHF3",4,6.82448235888638,0.0235719116069364,2,"Other Functions","No","Non-Hub"
"ARL14EP",4,367.453068715747,0.00583640546625344,10,"Other Functions","No","Non-Hub"
"ATG10",4,0,0.00618308982587438,19,"Other Functions","No","Non-Hub"
"BARHL1",4,0,0.0110119823401188,12,"Other Functions","No","Non-Hub"
"MELK",4,706,5.20498330226194e-05,17,"Other Functions","No","Non-Hub"
"MYOZ2",4,51.638536182637,0.000797416933417122,15,"Other Functions","No","Non-Hub"
"HRK",4,0,0.0746059635902783,5,"Other Functions","No","Non-Hub"
"TAL2",4,0,0.0160943239526328,5,"Other Functions","No","Non-Hub"
"PDE9A",4,37.6199584986351,0.0202187451232775,7,"Other Functions","No","Non-Hub"
"NNT",4,27.4925939206784,0.00076726490235105,3,"Other Functions","No","Non-Hub"
"C3orf20",4,128.132488280296,0.000885310267394811,1,"Other Functions","No","Non-Hub"
"SPATA18",4,220.696041123543,0.00506013304642356,1,"Other Functions","No","Non-Hub"
"CCDC148",4,344.17200498129,0.00530633745882708,1,"Other Functions","No","Non-Hub"
"ZNF202",4,1410,0.00252418318988755,12,"Other Functions","No","Non-Hub"
"QPCT",4,143.556288839559,0.00355874565471943,19,"Other Functions","No","Non-Hub"
"JCHAIN",4,8.27942952051685,0.00469664874302306,9,"Other Functions","No","Non-Hub"
"GANC",4,0,0.0108707236099818,7,"Other Functions","No","Non-Hub"
"ZNF385D",4,165.760773392387,0.00392837106339243,1,"Other Functions","No","Non-Hub"
"TMEM40",4,706,0.00605830547441376,10,"Other Functions","No","Non-Hub"
"DPYSL4",4,54.4095059702203,0.00346491128514386,15,"Other Functions","No","Non-Hub"
"RBMS1",4,13.8882086286271,0.00126456730138186,9,"Other Functions","No","Non-Hub"
"SGMS1",4,48.8335011552339,0.00297326143595701,11,"Other Functions","No","Non-Hub"
"XYLT1",4,63.6009256020008,0.00453600005729291,10,"Other Functions","No","Non-Hub"
"P3H2",4,0,0.00371094865727197,10,"Other Functions","No","Non-Hub"
"P2RY1",4,0,0.0197995415578845,7,"Other Functions","No","Non-Hub"
"PPDPFL",4,36.6940014855506,0.000450517891613775,10,"Other Functions","No","Non-Hub"
"UGT2B17",4,0,0.0579585187462739,5,"Other Functions","No","Non-Hub"
"CLSTN1",4,34.1202840635244,0.00468834609222212,9,"Other Functions","No","Non-Hub"
"CNPY3",4,90.7083651146619,0.0113471779526576,2,"Other Functions","No","Non-Hub"
"TSPAN6",4,105.750840846597,0.0389048125784123,11,"Other Functions","No","Non-Hub"
"ZFAT",4,37.3071352837882,0.00156892751111742,14,"Other Functions","No","Non-Hub"
"SIPA1L3",4,1,0,4,"Other Functions","No","Non-Hub"
"TMTC2",4,174.920983743851,0.000896386762978897,9,"Other Functions","No","Non-Hub"
"NPTN",4,291.442940369361,0.00293973088321866,7,"Other Functions","No","Non-Hub"
"MSI2",4,706,5.20498330226106e-05,17,"Other Functions","No","Non-Hub"
"ADARB1",4,25.4248580527346,0.00407067714524828,7,"Other Functions","No","Non-Hub"
"ZNF618",4,0,0.00170413179698364,15,"Other Functions","No","Non-Hub"
"MAP4",4,8.32097448008916,0.00606469494060272,7,"Other Functions","No","Non-Hub"
"COQ8A",4,52.264507623454,0.00250262681079328,19,"Other Functions","No","Non-Hub"
"SIRPB1",4,361.865490734937,0.0055445873814149,10,"Other Functions","No","Non-Hub"
"TRPM3",4,96.5313118665077,0.00154414110461802,9,"Other Functions","No","Non-Hub"
"FUT10",4,385.546256159603,0.00270494047522032,12,"Other Functions","No","Non-Hub"
"ST8SIA5",4,4.52798392084106,0.000140492289342772,12,"Other Functions","No","Non-Hub"
"PLPPR1",4,385.584129342104,0.0018904675613805,1,"Other Functions","No","Non-Hub"
"KIAA1755",4,1410,0.00446968906816807,7,"Other Functions","No","Non-Hub"
"ABLIM2",4,42.170424168321,0.00777680574715725,3,"Other Functions","No","Non-Hub"
"ELMO2",4,12.5581857031857,0.00975741453167968,11,"Other Functions","No","Non-Hub"
"FGD6",4,102.319201387845,0.000595859971421657,1,"Other Functions","No","Non-Hub"
"ZNRF1",4,0,0.0544714484977523,5,"Other Functions","No","Non-Hub"
"TRIM27",4,61.9277259475449,0.043732195167637,11,"Other Functions","No","Non-Hub"
"NIPSNAP3B",4,81.4725984863771,0.00066785986555504,19,"Other Functions","No","Non-Hub"
"TESPA1",4,179.006002854304,0.00585452002708044,19,"Other Functions","No","Non-Hub"
"MAP3K20",4,40.0618790594081,0.00600181255519213,7,"Other Functions","No","Non-Hub"
"KIAA1671",4,72.7597553863256,6.27828803012016e-05,12,"Other Functions","No","Non-Hub"
"CASZ1",4,872.088484589208,0.0207649994858609,1,"Other Functions","No","Non-Hub"
"DNAH14",4,114.417047264619,0.000627652530538145,1,"Other Functions","No","Non-Hub"
"NEK1",4,17.0599204021785,0.00353767193935256,11,"Other Functions","No","Non-Hub"
"LDLRAD3",4,125.631533582796,0.0242506515067392,7,"Other Functions","No","Non-Hub"
"HEATR3",4,706,0.000685822479265858,6,"Other Functions","No","Non-Hub"
"RGL1",4,0,0.0597781485689735,5,"Other Functions","No","Non-Hub"
"FAR1",4,706,0.000166718308862582,12,"Other Functions","No","Non-Hub"
"TNNI1",4,121.031647373398,0.00137256901524681,15,"Other Functions","No","Non-Hub"
"IRAK1BP1",4,133.901340724897,0.00469590095864104,1,"Other Functions","No","Non-Hub"
"PDIK1L",4,67.5858933666204,0.00154964441986383,19,"Other Functions","No","Non-Hub"
"PALM2AKAP2",4,544.170073075276,0.00510460275896176,10,"Other Functions","No","Non-Hub"
"UBL3",4,22.3989711579981,0.0138769388149982,5,"Other Functions","No","Non-Hub"
"NOX5",4,170.471959776993,0.00605099783925217,10,"Other Functions","No","Non-Hub"
"CIT",4,32.7973427410033,0.00849531657486332,9,"Other Functions","No","Non-Hub"
"ANKRD28",4,0,0.0109098400938052,7,"Other Functions","No","Non-Hub"
"GRIK1-AS2",4,169.705714323953,0.00293172048475331,12,"Other Functions","No","Non-Hub"
"AFF3",4,149.519107757652,0.00858033969475438,12,"Other Functions","No","Non-Hub"
"DHRS9",4,0,0.0579585187462739,5,"Other Functions","No","Non-Hub"
"SLC4A10",4,20.1246416193549,0.00297329410176008,19,"Other Functions","No","Non-Hub"
"CSF2RA",4,78.0338807510449,0.0699243593870175,5,"Other Functions","No","Non-Hub"
"ZNF516",4,0,0.0246386998189161,5,"Other Functions","No","Non-Hub"
"ARFIP1",4,173.145895238233,5.9850343156192e-05,10,"Other Functions","No","Non-Hub"
"SPATA13",4,29.9771038521108,0.0140532089738941,8,"Other Functions","No","Non-Hub"
"EFHC2",4,706,9.45397791380222e-05,13,"Other Functions","No","Non-Hub"
"OXR1",4,0,0.0064974572879463,7,"Other Functions","No","Non-Hub"
"FAM135A",4,77.9269510789141,0.00112441822708542,15,"Other Functions","No","Non-Hub"
"SLC15A2",4,104.206401060723,0.00107377815076552,19,"Other Functions","No","Non-Hub"
"POU5F1P4",4,2.63312019094264,0.050109358768875,2,"Other Functions","No","Non-Hub"
"RANBP3L",4,706,0.000295215896204352,7,"Other Functions","No","Non-Hub"
"THUMPD2",4,706,0.00410796983425062,7,"Other Functions","No","Non-Hub"
"TMEM167A",4,216.31897794199,0.00218832179238936,12,"Other Functions","No","Non-Hub"
"GRAMD2B",4,706,0.000499179463549388,1,"Other Functions","No","Non-Hub"
"CTSV",4,0,0.0379317421511344,5,"Other Functions","No","Non-Hub"
"PCSK5",4,61.2108017298167,0.00990111220381754,2,"Other Functions","No","Non-Hub"
"SCAPER",4,42.7106576769802,0.000695511604859878,10,"Other Functions","No","Non-Hub"
"ZDHHC7",4,206.710220326557,0.000325456092526955,12,"Other Functions","No","Non-Hub"
"SPATS2L",4,118.357299975339,0.00323116029047115,3,"Other Functions","No","Non-Hub"
"TSPAN9",2,0,0,4,"Other Functions","No","Non-Hub"
"ADAM23",2,0,0,16,"Other Functions","No","Non-Hub"
"CEACAM1",2,0,0.00125970895037053,7,"Other Functions","No","Non-Hub"
"ATP8B4",2,0,0.00090563009444294,18,"Other Functions","No","Non-Hub"
"NEK4",2,0,0.00780172562629211,8,"Other Functions","No","Non-Hub"
"OR10G7",2,0,0.0075193076501506,7,"Other Functions","No","Non-Hub"
"NUAK1",2,0,0.00148557562971159,18,"Other Functions","No","Non-Hub"
"AGPS",2,0,1.09638588906976e-05,12,"Other Functions","No","Non-Hub"
"CRYBB1",2,0,0.000838728496474163,6,"Other Functions","No","Non-Hub"
"IKZF4",2,0,0.00553601635766145,7,"Other Functions","No","Non-Hub"
"ACKR4",2,0,0.00270975251981499,8,"Other Functions","No","Non-Hub"
"DENND6A",2,0,0.000736066758982328,9,"Other Functions","No","Non-Hub"
"SENP5",2,0,0.0206662813136394,8,"Other Functions","No","Non-Hub"
"DCLK2",2,0,0.0184413617945032,5,"Other Functions","No","Non-Hub"
"SRP68",2,0,0.000772979993837467,9,"Other Functions","No","Non-Hub"
"TMEM39A",2,0,7.6280414405153e-05,13,"Other Functions","No","Non-Hub"
"CLIC5",2,0,0.00503607482864896,2,"Other Functions","No","Non-Hub"
"CSNK1G1",2,0,0.0187279037666862,11,"Other Functions","No","Non-Hub"
"GDPD4",2,0,0.000479238216092935,17,"Other Functions","No","Non-Hub"
"UST",2,0,0.00168559216333318,10,"Other Functions","No","Non-Hub"
